ID;Находится в реестре МСП;Размер компании.Наименование;Размер уставного капитала объявленный;ОКВЭД2.Наименование;ОКВЭД2.Код;Численность персонала по данным ФНС.Количество;Город фактический;Город юридический;ЕЛС действующий;Грузоотправитель;Грузополучатель;Карточка клиента (внешний источник).Индекс платежной дисциплины Описание;Карточка клиента (внешний источник).Индекс платежной дисциплины Значение;Карточка клиента (внешний источник).Индекс финансового риска Описание;Карточка клиента (внешний источник).Индекс финансового риска Значение;Госконтракты.Контракт;Госконтракты.Тип контракта
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;183;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации Заказчика.;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;183;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации покупателя;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;183;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка железобетонных изделий;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;183;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка плит дорожных;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;190;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка бетонных блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;190;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;190;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;190;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных.;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;190;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации Заказчика.;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;190;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации покупателя;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;190;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка железобетонных изделий;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;190;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка плит дорожных;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;218;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка бетонных блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;218;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;218;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;218;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных.;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;218;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации Заказчика.;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;218;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации покупателя;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;218;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка железобетонных изделий;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;218;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка плит дорожных;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;219;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка бетонных блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;219;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;219;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;219;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных.;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;219;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации Заказчика.;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;219;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации покупателя;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;219;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка железобетонных изделий;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;219;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка плит дорожных;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;221;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка бетонных блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;221;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;221;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;221;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных.;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;221;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации Заказчика.;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;221;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации покупателя;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;221;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка железобетонных изделий;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;221;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка плит дорожных;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;223;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка бетонных блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;223;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;223;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;223;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков бетонных.;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;223;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации Заказчика.;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;223;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка блоков по документации покупателя;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;223;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка железобетонных изделий;Исполнитель
11;Да;Средний бизнес;;Производство изделий из бетона для использования в строительстве;23.61;223;Владимир;г. Владимир;1001374220;Нет;Да;;;Средний риск;56;Поставка плит дорожных;Исполнитель
12;Да;Малый бизнес;48 338;Деятельность по складированию и хранению;52.10;44;Владимир мкр Юрьевец;г. Владимир;1000390136;Да;Да;;;Низкий риск;25;;
12;Да;Малый бизнес;48 338;Деятельность по складированию и хранению;52.10;45;Владимир мкр Юрьевец;г. Владимир;1000390136;Да;Да;;;Низкий риск;25;;
12;Да;Малый бизнес;48 338;Деятельность по складированию и хранению;52.10;47;Владимир мкр Юрьевец;г. Владимир;1000390136;Да;Да;;;Низкий риск;25;;
12;Да;Малый бизнес;48 338;Деятельность по складированию и хранению;52.10;55;Владимир мкр Юрьевец;г. Владимир;1000390136;Да;Да;;;Низкий риск;25;;
12;Да;Малый бизнес;48 338;Деятельность по складированию и хранению;52.10;61;Владимир мкр Юрьевец;г. Владимир;1000390136;Да;Да;;;Низкий риск;25;;
12;Да;Малый бизнес;48 338;Деятельность по складированию и хранению;52.10;63;Владимир мкр Юрьевец;г. Владимир;1000390136;Да;Да;;;Низкий риск;25;;
12;Да;Малый бизнес;48 338;Деятельность по складированию и хранению;52.10;64;Владимир мкр Юрьевец;г. Владимир;1000390136;Да;Да;;;Низкий риск;25;;
13;Да;Малый бизнес;65 473;Предоставление услуг в области растениеводства;01.61;5;Владимир;г. Владимир;1000055422;Нет;Да;;;Низкий риск;16;;
13;Да;Малый бизнес;65 473;Предоставление услуг в области растениеводства;01.61;7;Владимир;г. Владимир;1000055422;Нет;Да;;;Низкий риск;16;;
13;Да;Малый бизнес;65 473;Предоставление услуг в области растениеводства;01.61;8;Владимир;г. Владимир;1000055422;Нет;Да;;;Низкий риск;16;;
13;Да;Малый бизнес;65 473;Предоставление услуг в области растениеводства;01.61;9;Владимир;г. Владимир;1000055422;Нет;Да;;;Низкий риск;16;;
14;Да;Микробизнес;19 545 300;Производство пива;11.05;1;Владимир;г. Владимир;          ;Нет;Нет;;;Высокий риск;98;;
14;Да;Микробизнес;19 545 300;Производство пива;11.05;3;Владимир;г. Владимир;          ;Нет;Нет;;;Высокий риск;98;;
15;Да;Малый бизнес;;Аренда и управление собственным или арендованным нежилым недвижимым имуществом;68.20.2;21;Владимир;г. Владимир;          ;Нет;Нет;Низкий риск просрочки платежа;100;Низкий риск;23;;
15;Да;Малый бизнес;;Аренда и управление собственным или арендованным нежилым недвижимым имуществом;68.20.2;23;Владимир;г. Владимир;          ;Нет;Нет;Низкий риск просрочки платежа;100;Низкий риск;23;;
15;Да;Малый бизнес;;Аренда и управление собственным или арендованным нежилым недвижимым имуществом;68.20.2;24;Владимир;г. Владимир;          ;Нет;Нет;Низкий риск просрочки платежа;100;Низкий риск;23;;
15;Да;Малый бизнес;;Аренда и управление собственным или арендованным нежилым недвижимым имуществом;68.20.2;28;Владимир;г. Владимир;          ;Нет;Нет;Низкий риск просрочки платежа;100;Низкий риск;23;;
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;"""0205-2020-00486. Изготовление и поставка фильтров АЮИЖ.061431.006-02, коробок клапанных АЮИЖ.306133.004-02, баков пополнительных АЮИЖ.307341.013-01, гидромоторов БК2.957.179-02, насосов ПБ2.962.009";Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00068. Поставка Аппаратуры ТТПР 7336.01.00.000-03;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00108. Оказание услуг по добровольному медицинскому страхованию;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00109. Оказание услуг по страхованию от несчастных случаев и болезней;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00195. Поставка цветного металлопроката;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00229. Поставка изделий электронной техники;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00251. Поставка соединителей;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00276. Поставка мебели;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00312. Оказание услуг по сопровождению закупочных процедур;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00407. Поставка насосов вакуумных;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00411. Оказание услуг специальной связи по приему, обработке, хранению, доставке и вручению отправлений;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00419. Поставка комплектующих для компрессора;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00652. Выполнение работ по интеграции локальных учетных систем АО «ВНИИ «СИГНАЛ» с АС ФЗД Государственной корпорации «Ростех»;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00707. Поставка аккумуляторных батарей;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00709. Поставка инструмента;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;"0205-2019-00723. Оказание услуг по сопровождению справочно-правовой
                    системы КонсультантПлюс";Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00727. Изготовление и поставка электродвигателей;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00737. Поставка электрической камерной печи;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00746. Поставка инструмента;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00747. Поставка инструмента;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00748. Поставка инструмента;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00750. Поставка гидравлического цилиндра;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00751. Поставка подшипниковой продукции;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00752. Поставка подшипниковой продукции;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00760. Изготовление и поставка: Модуль ХЧ БК5.889.194;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00766. Изготовление и поставка изделий полупроводникового производства;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00768. Оказание транспортно-экспедиционных услуг, связанных с перевозкой грузов Заказчика;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2019-00770. Оказание транспортно-экспедиционных услуг, связанных с перевозкой грузов Заказчика;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00005. Поставка базовых рабочих станций;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00014. Поставка многофункционального мини-погрузчика с функциональным оборудованием;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00015. Оказание услуг по поверке (калибровке) средств измерений (СИ);Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00027. Оказание услуг по проведению обязательного ежегодного аудита бухгалтерской (финансовой) отчетности АО «ВНИИ «Сигнал» за 2020г.;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00028. Поставка автомобильного бензина и дизельного топлива для заправки автотранспортных средств АО «ВНИИ «Сигнал» через сеть АЗС по топливным картам;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00032. Поставка переносных приемопередающих модулей, переносных нагрудных переключателей и программных комплексов;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00033. Поставка ЭВМ «Багет-47-51»;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00036. Оказание услуг по аренде (временное пользование) нежилого помещения для использования в качестве офисного (учрежденческого) части здания для УПВ;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;"0205-2020-00037. Выполнение работ по капитальному ремонту станка
                    вертикально-фрезерного модели KGJP серийный №Н44-6238 инв. №
                    А-3444";Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00038. Выполнение работ по капитальному ремонту фасада корпуса №0002;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00046. Поставка автомобилей;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;"0205-2020-00047. Выполнение работ по реконструкции системы
                    водоснабжения корпуса №0002 предприятия";Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00050. Выполнение работ по устройству микроклимата в отделе 81 в корпусе № 0004;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;"0205-2020-00054. Выполнение работ по модернизации ИТП с установкой
                    и настройкой автоматического управления параметрами воды в системе отопления в
                    зависимости от температуры наружного воздуха и установкой узлов тепловой энергии
                    в корпусах №№ 0006, 0011";Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00064. Изготовление и поставка блоков коммутации;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00076. Оказание услуг по защите охраняемых объектов АО «ВНИИ «Сигнал» ВО ГК «Ростех»;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00078. Поставка: ДСМ АЮИЖ.402221.002, ДСД АЮИЖ.464417.001, Планшет - пульт ПБ2.319.002, Блок обработки данных АЮИЖ.468354.023, Датчик температуры АЮИЖ.405542.005, ККУ АЮИЖ.467847.001, КМЧ АЮИЖ.461911.066;Заказчик
16;Нет;Крупный бизнес;812 838 000;Научные исследования и разработки в области естественных и технических наук прочие;72.19;;КОВРОВ;г. Ковров;          ;Да;Нет;;;Высокий риск;71;0205-2020-00080. Изготовление и поставка 14Ц821;Заказчик
